player_id,player_display_name,week,season_type,team,opponent_team,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_fumbles_forced,def_sacks,def_qb_hits,def_interceptions,def_pass_defended,def_tds,def_fumbles,def_safeties
00-0038807,Ivan Pace Jr.,9,REG,MIN,DET,1,0,2,0,0,0,0,0,0,0,0,0
00-0038841,Nick Whiteside,9,REG,DET,MIN,0,0,1,0,0,0,0,0,0,0,0,0
00-0038922,Drake Thomas,9,REG,SEA,WAS,3,0,5,1,0,1,1,0,1,0,0,0
00-0038940,Tyler Lacy,9,REG,DET,MIN,1,0,3,0,0,1,1,0,0,0,0,0
00-0038966,Natrone Brooks,9,REG,ATL,NE,0,0,0,0,0,0,0,0,0,0,0,0
00-0038982,Chamarri Conner,9,REG,KC,BUF,3,0,2,0,0,0,0,0,0,0,0,0
00-0038984,Kei'Trel Clark,9,REG,ARI,DAL,1,0,0,0,0,0,0,0,0,0,0,0
00-0038986,Nic Jones,9,REG,NYG,SF,0,0,1,0,0,0,0,0,0,0,0,0
00-0038995,Bryan Bresee,9,REG,NO,LA,0,0,0,0,0,0,2,0,1,0,0,0
00-0039000,Deonte Banks,9,REG,NYG,SF,2,1,1,0,0,0,0,0,0,0,0,0
00-0039007,Garrett Williams,9,REG,ARI,DAL,3,0,1,0,1,0,0,0,1,0,0,0
00-0039018,Jack Campbell,9,REG,DET,MIN,6,0,3,1,0,1,1,0,0,0,0,0
00-0039031,Adetomiwa Adebawore,9,REG,IND,PIT,0,0,1,0,0,0,0,0,0,0,0,0
00-0039047,Derick Hall,9,REG,SEA,WAS,2,0,3,1,0,0,0,0,0,0,0,0
00-0039054,Marte Mapu,9,REG,NE,ATL,2,0,0,0,0,0,0,0,0,0,0,0
00-0039070,Gervon Dexter Sr.,9,REG,CHI,CIN,0,0,0,0,0,0,0,0,0,0,0,0
00-0039071,Tyrique Stevenson,9,REG,CHI,CIN,6,0,0,0,0,0,0,0,1,0,0,0
00-0039108,Will Anderson Jr.,9,REG,HOU,DEN,1,0,0,1,0,1,2,0,0,0,0,0
00-0039110,Keeanu Benton,9,REG,PIT,IND,2,0,3,1,0,1,2,0,0,0,0,0
00-0039111,Tuli Tuipulotu,9,REG,LAC,TEN,1,0,0,1,1,1,1,0,0,0,0,0
00-0039137,Byron Young,9,REG,LA,NO,1,0,1,0,0,0,0,0,0,0,0,0
00-0039138,Kobie Turner,9,REG,LA,NO,1,0,2,1,0,0,0,0,0,0,0,0
00-0039141,Brian Branch,9,REG,DET,MIN,4,0,2,0,0,0,0,0,0,0,0,0
00-0039147,Christian Gonzalez,9,REG,NE,ATL,6,0,1,0,0,0,0,0,2,0,0,0
00-0039149,Quan Martin,9,REG,WAS,SEA,3,0,0,0,0,0,0,0,0,0,0,0
00-0039151,Emmanuel Forbes,9,REG,LA,NO,3,0,1,0,0,0,0,1,3,0,0,0
00-0039167,Joey Porter Jr.,9,REG,PIT,IND,6,0,2,0,0,1,0,1,4,0,0,0
00-0039169,Devon Witherspoon,9,REG,SEA,WAS,5,0,2,0,0,0,1,0,0,0,0,0
00-0039232,Nate Wiggins,9,REG,BAL,MIA,4,0,2,0,0,0,0,0,0,0,0,0
00-0039234,T.J. Tampa,9,REG,BAL,MIA,1,0,0,0,0,0,0,0,0,0,0,0
00-0039309,Byron Murphy II,9,REG,SEA,WAS,0,0,4,0,0,0.5,1,0,0,0,0,0
00-0039324,Christian Roland-Wallace,9,REG,KC,BUF,1,0,2,0,0,0,0,0,0,0,0,0
00-0039332,C.J. Ravenell,9,REG,TEN,LAC,0,0,1,0,1,0,0,0,0,0,0,0
00-0039340,Laiatu Latu,9,REG,IND,PIT,4,0,2,3,0,2.5,3,0,0,0,0,0
00-0039343,Kamari Lassiter,9,REG,HOU,DEN,6,0,3,0,0,0,0,0,2,0,0,0
00-0039345,Renardo Green,9,REG,SF,NYG,2,0,4,0,0,0,0,0,2,0,0,0
00-0039347,Trevin Wallace,9,REG,CAR,GB,6,0,3,0,0,0,1,0,1,0,0,0
00-0039352,Marist Liufau,9,REG,DAL,ARI,1,0,0,0,0,0,0,0,0,0,0,0
00-0039353,Jarrian Jones,9,REG,JAX,LV,5,1,4,0,0,0,0,0,1,0,0,0
00-0039357,Decamerion Richardson,9,REG,LV,JAX,0,0,0,0,0,0,0,0,0,0,0,0
00-0039360,Malik Mustapha,9,REG,SF,NYG,3,0,2,0,0,0,0,0,0,0,0,0
00-0039368,Jordan Magee,9,REG,WAS,SEA,2,0,3,0,0,0,0,0,0,0,0,0
00-0039369,Cam Hart,9,REG,LAC,TEN,1,0,2,0,0,0,0,0,1,0,0,0
00-0039370,JD Bertrand,9,REG,ATL,NE,4,0,1,0,0,0,0,0,0,0,0,0
00-0039371,Kris Abrams-Draine,9,REG,DEN,HOU,5,0,2,1,0,0,0,0,0,0,0,0
00-0039374,Tommy Eichenberg,9,REG,LV,JAX,1,0,1,0,0,0,0,0,0,0,0,0
00-0039375,Josh Newton,9,REG,CIN,CHI,2,0,0,0,0,0,0,0,0,0,0,0
00-0039380,Chau Smith-Wade,9,REG,CAR,GB,1,0,0,0,0,0,0,0,0,0,0,0
00-0039387,Caelen Carson,9,REG,DAL,ARI,0,0,1,0,0,0,0,0,0,0,0,0
00-0039395,Jamal Hill,9,REG,HOU,DEN,0,0,1,0,0,0,0,0,0,0,0,0
00-0039421,Levi Drake Rodriguez,9,REG,MIN,DET,1,0,1,1,0,1,2,0,0,0,0,0
00-0039423,Jonah Laulu,9,REG,LV,JAX,2,0,2,0,0,0,0,0,0,0,0,0
00-0039435,Tatum Bethune,9,REG,SF,NYG,8,0,8,0,0,0,0,0,1,0,0,0
00-0039436,Jaylen Harrell,9,REG,TEN,LAC,0,0,2,0,0,0,0,0,0,0,0,0
00-0039460,Carl Jones,9,REG,CHI,CIN,0,0,2,0,0,0,0,0,0,0,0,0
00-0039465,Reddy Steward,9,REG,DAL,ARI,2,0,0,1,0,1,1,0,0,0,0,0
00-0039483,Isaiah Johnson,9,REG,MIA,BAL,1,0,0,0,0,0,0,0,0,0,0,0
00-0039601,Demani Richardson,9,REG,CAR,GB,0,0,1,0,0,0,0,0,0,0,0,0
00-0039632,PJ Jules,9,REG,CIN,CHI,0,0,1,0,0,0,0,0,0,0,0,0
00-0039637,Maema Njongmeta,9,REG,CAR,GB,0,0,1,0,0,0,0,0,0,0,0,0
00-0039660,Thomas Harper,9,REG,DET,MIN,2,0,0,0,0,0,0,0,0,0,0,0
00-0039681,Tyler Owens,9,REG,WAS,SEA,1,0,1,0,0,0,0,0,0,0,0,0
00-0039692,Dell Pettus,9,REG,NE,ATL,0,0,0,0,0,0,0,0,1,0,0,0
00-0039733,Ruke Orhorhoro,9,REG,ATL,NE,1,0,2,0,0,0,0,0,0,0,0,0
00-0039734,Braden Fiske,9,REG,LA,NO,1,0,2,1,0,1,1,0,0,0,0,0
00-0039741,Payton Wilson,9,REG,PIT,IND,9,1,4,0,0,0,0,1,2,0,0,0
00-0039743,Jordan Jefferson,9,REG,CIN,CHI,0,0,0,0,0,0,0,0,0,0,0,0
00-0039749,Tyler Davis,9,REG,LA,NO,0,0,1,0,0,0,0,0,1,0,0,0
00-0039752,Cedric Johnson,9,REG,CIN,CHI,0,0,1,0,0,0,1,0,0,0,0,0
00-0039763,Joe Andreessen,9,REG,BUF,KC,1,0,0,0,0,0,0,0,0,0,0,0
00-0039774,Omar Speights,9,REG,LA,NO,2,0,1,0,0,0,0,0,0,0,0,0
00-0039776,Jaylen McCollough,9,REG,LA,NO,1,0,0,0,0,0,0,0,0,0,0,0
00-0039795,Nehemiah Pritchett,9,REG,SEA,WAS,0,0,1,0,0,0,0,0,0,0,0,0
00-0039807,Max Melton,9,REG,ARI,DAL,3,0,1,0,0,0,0,0,0,0,0,0
00-0039809,Jonah Elliss,9,REG,DEN,HOU,1,0,0,0,0,0,0,0,0,0,0,0
00-0039812,Ty'Ron Hopper,9,REG,GB,CAR,1,0,0,0,0,0,0,0,0,0,0,0
00-0039813,Evan Williams,9,REG,GB,CAR,2,0,6,0,0,0,0,0,0,0,0,0
00-0039815,Tyrice Knight,9,REG,SEA,WAS,3,1,6,1,0,0,0,0,0,0,0,0
